state,county,pjm_primary_zone,holding_company,gas_primary_hub,gas_secondary_hub,pjm_secondary_zone,confidence,notes,gas_notes
IL,Ogle,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Putnam,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Rock Island,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Stark,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Stephenson,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Vermilion,COMED,Exelon,Chicago CG,NIPSCO,,medium,"Partial ComEd, rest is Ameren (MISO)",
IL,Whiteside,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Will,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IL,Winnebago,COMED,Exelon,Chicago CG,NIPSCO,,high,,
IN,Adams,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Allen,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Blackford,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,DeKalb,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Dearborn,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Decatur,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Delaware,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Fayette,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Franklin,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Grant,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Henry,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Huntington,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Jay,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Jefferson,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Jefferson,AEP,AEP,Chicago CG,TGP Z4 200,OVEC,medium,Clifty Creek (OVEC) located here; I&M load,
IN,LaGrange,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Madison,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Noble,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Ohio,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Randolph,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Ripley,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Steuben,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Switzerland,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Union,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Wabash,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Wayne,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Wells,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
IN,Whitley,AEP,AEP,Chicago CG,TGP Z4 200,,high,Indiana Michigan Power (I&M),
KY,Bell,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Boone,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Bourbon,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Boyd,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Bracken,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Breathitt,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Campbell,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Carter,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Casey,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Clark,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Clay,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Elliott,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Estill,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Fleming,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Floyd,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Gallatin,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Garrard,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Grant,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Greenup,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Harlan,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Harrison,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Jackson,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Jessamine,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Johnson,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Kenton,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Knott,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Knox,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Laurel,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Lawrence,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Lee,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Leslie,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Letcher,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Lincoln,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Madison,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Magoffin,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Martin,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Mason,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,McCreary,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Menifee,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Morgan,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Nicholas,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Owsley,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Pendleton,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,Duke Energy Kentucky,
KY,Perry,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Pike,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Powell,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Pulaski,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Robertson,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Rockcastle,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Rowan,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
KY,Russell,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Scott,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Wayne,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Whitley,EKPC,EKPC,TCO Pool,TGP Z4 200,,high,East Kentucky Power Cooperative,
KY,Wolfe,AEP,AEP,TCO Pool,TGP Z4 200,,high,Kentucky Power,
MD,Allegany,APS,FirstEnergy,Dom South,TETCO M2,,high,Potomac Edison,Western MD draws from Appalachian production
MD,Anne Arundel,BGE,Exelon,Transco Z5,Cove Pt,,high,,Cove Pt proximate; Transco Z5 marginal reference
MD,Baltimore,BGE,Exelon,Transco Z5,Cove Pt,,high,,Cove Pt proximate; Transco Z5 marginal reference
MD,Baltimore City,BGE,Exelon,Transco Z5,Cove Pt,,high,,Cove Pt proximate; Transco Z5 marginal reference
MD,Calvert,PEPCO,Exelon,Transco Z5,Cove Pt,,medium,SMECO co-op territory; Cove Pt adjacent,
MD,Caroline,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,Carroll,BGE,Exelon,Transco Z5,Cove Pt,,high,,Cove Pt proximate; Transco Z5 marginal reference
MD,Cecil,DPL,Exelon,TETCO M3,Transco Z6 non-NY,BGE,medium,"Split: mostly DPL, some BGE",
MD,Charles,PEPCO,Exelon,Transco Z5,Cove Pt,,medium,"SMECO co-op territory, settles at PEPCO zone",
MD,Dorchester,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,Frederick,APS,FirstEnergy,Transco Z5,TETCO M3,BGE,medium,Split: Potomac Edison (west) / BGE (east),
MD,Garrett,APS,FirstEnergy,Dom South,TETCO M2,,high,Potomac Edison,Western MD draws from Appalachian production
MD,Harford,BGE,Exelon,Transco Z5,Cove Pt,,high,,Cove Pt proximate; Transco Z5 marginal reference
MD,Howard,BGE,Exelon,Transco Z5,Cove Pt,,high,,Cove Pt proximate; Transco Z5 marginal reference
MD,Kent,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,Montgomery,PEPCO,Exelon,Transco Z5,Cove Pt,,high,,
MD,Prince George's,PEPCO,Exelon,Transco Z5,Cove Pt,,high,,
MD,Queen Anne's,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,Somerset,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,St. Mary's,PEPCO,Exelon,Transco Z5,Cove Pt,,medium,SMECO co-op territory,
MD,Talbot,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,Washington,APS,FirstEnergy,Dom South,TETCO M2,,high,Potomac Edison,Western MD draws from Appalachian production
MD,Wicomico,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MD,Worcester,DPL,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
MI,Berrien,AEP,AEP,MichCon,Consumers,,high,Indiana Michigan Power (I&M),
MI,Branch,AEP,AEP,MichCon,Consumers,,high,Indiana Michigan Power (I&M),
MI,Cass,AEP,AEP,MichCon,Consumers,,high,Indiana Michigan Power (I&M),
MI,St. Joseph,AEP,AEP,MichCon,Consumers,,high,Indiana Michigan Power (I&M),
NC,Bertie,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Camden,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Chowan,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Currituck,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Gates,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Halifax,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Hertford,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Northampton,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Pasquotank,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Perquimans,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NC,Warren,DOM,Dominion Energy,Transco Z5,TETCO M3,,high,,
NJ,Atlantic,AE,Exelon,Transco Z6 non-NY,TETCO M3,,high,Atlantic City Electric,
NJ,Bergen,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,,high,,Linden/Newark gen corridor on Transco mainline
NJ,Burlington,AE,Exelon,Transco Z6 non-NY,TETCO M3,PSEG,medium,ACE / PSEG split,
NJ,Camden,AE,Exelon,Transco Z6 non-NY,TETCO M3,PSEG,medium,ACE / PSEG split,
NJ,Cape May,AE,Exelon,Transco Z6 non-NY,TETCO M3,,high,Atlantic City Electric,
NJ,Cumberland,AE,Exelon,Transco Z6 non-NY,TETCO M3,,high,Atlantic City Electric,
NJ,Essex,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,,high,,Linden/Newark gen corridor on Transco mainline
NJ,Gloucester,AE,Exelon,Transco Z6 non-NY,TETCO M3,,high,Atlantic City Electric,
NJ,Hudson,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,,high,,Linden/Newark gen corridor on Transco mainline
NJ,Hunterdon,JCPL,FirstEnergy,Transco Z6 non-NY,TETCO M3,,high,,
NJ,Mercer,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,JCPL,medium,Split: PSEG urban / JCPL rural,
NJ,Middlesex,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,,high,,Linden/Newark gen corridor on Transco mainline
NJ,Monmouth,JCPL,FirstEnergy,Transco Z6 non-NY,TETCO M3,,high,,
NJ,Morris,JCPL,FirstEnergy,Transco Z6 non-NY,TETCO M3,,high,,
NJ,Ocean,JCPL,FirstEnergy,Transco Z6 non-NY,TETCO M3,,high,,
NJ,Passaic,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,JCPL,medium,Split: PSEG (south) / JCPL (north),
NJ,Salem,AE,Exelon,Transco Z6 non-NY,TETCO M3,,high,Atlantic City Electric,
NJ,Somerset,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,,high,,Linden/Newark gen corridor on Transco mainline
NJ,Sussex,JCPL,FirstEnergy,Transco Z6 non-NY,TETCO M3,,high,,
NJ,Union,PSEG,PSEG,Transco Z6 non-NY,TETCO M3,,high,,Linden/Newark gen corridor on Transco mainline
NJ,Warren,JCPL,FirstEnergy,Transco Z6 non-NY,TETCO M3,,high,,
OH,Adams,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,,
OH,Allen,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Ashtabula,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Athens,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Auglaize,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Belmont,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Brown,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,,
OH,Butler,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,,
OH,Carroll,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Champaign,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Clark,AEP,AEP,TCO Pool,Dom South,DAY,medium,,
OH,Clermont,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,,
OH,Clinton,DAY,AES,TCO Pool,Dom South,,medium,,
OH,Columbiana,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Coshocton,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Cuyahoga,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Darke,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Defiance,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Delaware,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Erie,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Fairfield,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Fayette,DAY,AES,TCO Pool,Dom South,,medium,,
OH,Franklin,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Fulton,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Gallia,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Geauga,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Greene,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Guernsey,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Hamilton,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,,
OH,Hancock,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Hardin,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Harrison,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Henry,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Highland,DAY,AES,TCO Pool,Dom South,,medium,,
OH,Hocking,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Holmes,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Huron,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Jackson,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Jefferson,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Knox,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Lake,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Lawrence,AEP,AEP,Dom South,TETCO M2,,medium,"Mostly AEP Ohio, KY Power adjacency",
OH,Licking,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Logan,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Lorain,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Lucas,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Madison,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Mahoning,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Marion,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Medina,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Meigs,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Mercer,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Miami,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Monroe,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Montgomery,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Morgan,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Morrow,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Muskingum,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Noble,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Ottawa,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Paulding,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Perry,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Pickaway,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Pike,AEP,AEP,TCO Pool,Dom South,OVEC,medium,OVEC HQ Piketon; AEP Ohio service,
OH,Portage,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Preble,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Putnam,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Ross,AEP,AEP,TCO Pool,Dom South,DAY,medium,,
OH,Sandusky,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Scioto,AEP,AEP,TCO Pool,Dom South,OVEC,medium,AEP Ohio with OVEC adjacency,
OH,Seneca,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Shelby,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Stark,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Summit,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Trumbull,ATSI,FirstEnergy,TCO Pool,Dom South,,high,FE Ohio (Ohio Edison/CEI/Toledo Edison),
OH,Tuscarawas,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Union,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Van Wert,DAY,AES,TCO Pool,Dom South,,high,AES Ohio (formerly Dayton P&L),
OH,Vinton,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Warren,DEOK,Duke Energy,TCO Pool,TGP Z4 200,,high,,
OH,Washington,AEP,AEP,Dom South,TETCO M2,,high,AEP Ohio,SE OH near WV; Dom South / TETCO M2 dominant
OH,Wayne,AEP,AEP,TCO Pool,Dom South,,high,AEP Ohio,
OH,Williams,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
OH,Wood,ATSI,FirstEnergy,TCO Pool,Chicago CG,,high,FE Ohio (Toledo Edison),NW Ohio - Chicago CG basis becomes more relevant
PA,Adams,METED,FirstEnergy,TETCO M3,Transco Z6 non-NY,,medium,Met-Ed; some PPL overlap,
PA,Allegheny,DUQ,Duquesne Light,TETCO M2,Dom South,,high,,Pittsburgh metro = TETCO M2 / Dom South epicenter
PA,Armstrong,APS,FirstEnergy,TETCO M2,Dom South,,medium,West Penn Power,
PA,Beaver,ATSI,FirstEnergy,TETCO M2,Dom South,,medium,Penn Power,
PA,Bedford,APS,FirstEnergy,TETCO M2,Dom South,,medium,West Penn Power,
PA,Berks,METED,FirstEnergy,TETCO M3,Transco Z6 non-NY,,medium,Met-Ed; some PPL overlap,
PA,Blair,APS,FirstEnergy,TETCO M2,Dom South,,medium,West Penn Power,
PA,Bradford,PPL,PPL,Leidy,TETCO M3,,high,,Heart of NE PA Marcellus; Leidy reference
PA,Bucks,PECO,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
PA,Butler,ATSI,FirstEnergy,TETCO M2,Dom South,,medium,Penn Power,
PA,Cambria,APS,FirstEnergy,TETCO M2,Dom South,,medium,West Penn Power,
PA,Cameron,PENELEC,FirstEnergy,Dom South,TETCO M2,,high,,NW PA - Marcellus production area
PA,Carbon,PPL,PPL,TETCO M3,Transco Z6 non-NY,,high,,
PA,Centre,APS,FirstEnergy,TETCO M2,Dom South,,medium,West Penn Power,
PA,Chester,PECO,Exelon,TETCO M3,Transco Z6 non-NY,,high,,
PA,Clarion,PENELEC,FirstEnergy,Dom South,TETCO M2,,medium,,
PA,Clearfield,PENELEC,FirstEnergy,Dom South,TETCO M2,,high,,NW PA - Marcellus production area
PA,Clinton,PENELEC,FirstEnergy,Dom South,TETCO M2,,high,,NW PA - Marcellus production area
PA,Columbia,PPL,PPL,Leidy,TETCO M3,,high,,Heart of NE PA Marcellus; Leidy reference
PA,Crawford,PENELEC,FirstEnergy,Dom South,TETCO M2,,high,,NW PA - Marcellus production area
PA,Cumberland,APS,FirstEnergy,TETCO M2,Dom South,,medium,West Penn Power,
